NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
800235466,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,3797856000,9805649000,2375738000,5485470000,4320179000,1872282000,869452000,5139189000,Pequeña empresa
800236421,"C1410 - Confección de prendas de vestir, excepto prendas de piel",14403611000,23331827000,925468000,12117817000,11214010000,2002879000,148870000,7187987000,Pequeña empresa
800237608,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,30058420000,31615883000,13801669000,13801669000,17814214000,17500970000,0,78493483000,Mediana empresa
800238299,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3552269000,5083749000,2204936000,2282766000,2800983000,4135842000,0,8682513000,Mediana empresa
800244445,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,4996256000,5744282000,2994528000,3677164000,2067118000,5582642000,263891000,12175776000,Pequeña empresa
800248050,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,1089682000,5402725000,898681000,898681000,4504044000,900530000,0,1555692000,Microempresa
800248113,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,2483409000,7889923000,1840769000,3581000000,4308923000,3614808000,164091000,8282687000,Mediana empresa
800248452,"C1410 - Confección de prendas de vestir, excepto prendas de piel",789439000,1341880000,131730000,270466000,1071414000,219557000,48000,1109556000,Pequeña empresa
800248761,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,7678920000,7774410000,446213000,2798544000,4975866000,2863716000,0,15257790000,Pequeña empresa
800249578,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,1744423000,2097943000,641120000,1356435000,741508000,459490000,155169000,3152832000,Pequeña empresa
800250640,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3349233000,4507355000,1414174000,3217584000,1289771000,549100000,0,4234690000,Pequeña empresa
800252958,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,14904452000,29189951000,12624129000,23921433000,5268518000,4214660000,3650679000,6640336000,Pequeña empresa
800253534,C2229 - Fabricación de artículos de plástico n.c.p.,8517532000,11971899000,3477486000,3961846000,8010053000,4633144000,209923000,24399589000,Mediana empresa
800256322,"C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir",3390391000,8430695000,1124109000,2077239000,6353456000,2694790000,213246000,10164616000,Mediana empresa
802000750,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,2187434000,2259690000,1062042000,1091023000,1168667000,1311712000,0,3776098000,Pequeña empresa
802003693,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,4664982000,4716793000,862346000,1256234000,3460559000,3562938000,162497000,9230463000,Pequeña empresa
802005006,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,7370887000,21900791000,6348894000,16809072000,5091719000,2421824000,0,10825277000,Mediana empresa
802009508,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,7764724000,8879832000,5224847000,5224847000,3654985000,3818345000,0,17735853000,Mediana empresa
802009754,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,3566798000,4562863000,1218784000,1297347000,3265516000,2404554000,15046000,8543129000,Pequeña empresa
802012321,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,1845055000,1857844000,3100000,3100000,1854744000,262951000,66982000,262951000,Microempresa
802014042,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3184338000,4758724000,1406492000,3803804000,954920000,4442652000,887163000,7367539000,Pequeña empresa
802015093,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,1611213000,3310615000,607673000,1809420000,1501195000,1344881000,40703000,2262404000,Pequeña empresa
802016645,"C1410 - Confección de prendas de vestir, excepto prendas de piel",4335752000,4412288000,432860000,3201305000,1210983000,2885522000,97315000,3420458000,Pequeña empresa
802021432,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,13280209000,16984207000,9742805000,9742805000,7241402000,41103547000,875628000,1.03235E+11,Mediana empresa
802021644,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,6613876000,6877361000,4638659000,4748773000,2128588000,6394014000,0,32390989000,Mediana empresa
802023350,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,6132037000,9102602000,3279415000,3969823000,5132779000,8066842000,405592000,22454427000,Mediana empresa
802024079,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,9975847000,14376176000,6242143000,8706961000,5669215000,8499603000,0,21164350000,Mediana empresa
804000123,C2229 - Fabricación de artículos de plástico n.c.p.,27138333000,35516282000,10152831000,21575994000,13940288000,11399617000,0,33340272000,Mediana empresa
804006601,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,1.93837E+11,2.32045E+11,1.52524E+11,1.78218E+11,53826909000,98921213000,16673144000,2.1836E+11,Mediana empresa
804009588,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,24318456000,28567785000,18138675000,18560084000,10007701000,14346435000,1120393000,56348629000,Mediana empresa
804009976,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,2289031000,3338329000,1399983000,1399983000,1938346000,8199574000,221037000,22483909000,Mediana empresa
804010866,"C1410 - Confección de prendas de vestir, excepto prendas de piel",8866937000,10296405000,2735710000,3601507000,6694898000,3098455000,32714000,16206792000,Mediana empresa
804011227,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,9183403000,9787578000,5002980000,5154131000,4633447000,4973276000,743409000,12120418000,Pequeña empresa
805002619,C2229 - Fabricación de artículos de plástico n.c.p.,4486474000,8227252000,3166751000,3490017000,4737235000,1893256000,207566000,10306929000,Mediana empresa
805004477,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,1335738000,2535929000,62373000,519801000,2016128000,217814000,15344000,420399000,Microempresa
805005992,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,10762529000,10807614000,5068103000,5204129000,5603485000,6189674000,258370000,14050835000,Pequeña empresa
805006126,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,3314534000,4192941000,1174188000,2717566000,1475375000,812759000,74614000,5891297000,Pequeña empresa
805006745,"C1410 - Confección de prendas de vestir, excepto prendas de piel",18704511000,18945609000,5030632000,5440323000,13505286000,13863654000,240255000,21737856000,Mediana empresa
805009200,"C1410 - Confección de prendas de vestir, excepto prendas de piel",20805925000,27861777000,8414639000,15418086000,12443691000,5591158000,1452078000,18762780000,Mediana empresa
805015214,C1313 - Acabado de productos textiles,2075377000,4446447000,1516507000,2113094000,2333353000,829536000,102552000,4965700000,Pequeña empresa
805015293,C2229 - Fabricación de artículos de plástico n.c.p.,4012603000,6862022000,1545012000,1557490000,5304532000,2533880000,63089000,14423475000,Mediana empresa
805016997,"C1410 - Confección de prendas de vestir, excepto prendas de piel",5575895000,5605370000,3431141000,3435519000,2169851000,1552548000,0,8266219000,Mediana empresa
805017117,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",1016945000,1186466000,279878000,922321000,264145000,828489000,68300000,2440832000,Pequeña empresa
805017318,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3989101000,3993071000,1684230000,2240764000,1752307000,348908000,17123000,657030000,Microempresa
805017633,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3562431000,4212849000,1352128000,1403698000,2809151000,2664750000,292366000,8673600000,Mediana empresa
805017736,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,18631635000,21327896000,14519294000,14519294000,6808602000,5202065000,2101687000,37600702000,Mediana empresa
805018722,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,32896102000,35168737000,22856193000,26616051000,8552686000,9890820000,3335370000,58926238000,Mediana empresa
805018905,"C1410 - Confección de prendas de vestir, excepto prendas de piel",5146849000,5734822000,262299000,2259580000,3475242000,1047763000,167121000,6285396000,Pequeña empresa
