LI,NE,RCI,RP,RA,CT,%K
19.15375513,0.312049872,0,0,0,7056764000,7.884652514
1.142389938,0.87412512,4.836913503,3.295460747,0.414815726,21235148000,23.72642235
5.992232732,0.120591842,111.5639191,0.380184986,0.334337778,11923229000,13.32204358
3.448261376,0.260641143,13.02463485,0.089296365,0.066022058,17564897000,19.62558324
1.611001023,0.665457143,5.044773935,0.904678217,0.302653636,4401253000,4.917601117
1.682335288,0.251215918,9.616007285,0.41661574,0.311955234,15316168000,17.11303687
1.564710762,0.5427378,10,0.926690201,0.4237404,14225504000,15.89441788
1.00298293,0.76741859,0.086553504,0.023986574,0.005578831,23470000,0.026223464
1.740780449,0.865072965,3.460179735,0.639454647,0.086279719,1.12196E+11,125.3584134
2.070998266,0.628414934,10,1.062085931,0.39465527,30548000000,34.13184358
1.580997993,0.801532342,3.684312481,1.344434254,0.266826718,75681921000,84.56080559
1.651702456,0.546616861,10,0.881951079,0.399861748,9280198000,10.36893631
1.400435976,0.699846484,62.57450267,1.895096089,0.568819754,17468418000,19.51778547
1.193819318,0.782880377,6.939042206,2.955668514,0.641733634,11528073000,12.88052849
2.906307193,0.508526199,4.186478208,1.039884086,0.511075784,2960232000,3.307521788
1.027664193,0.884009237,7.0075504,3.282850157,0.380780294,395576000,0.441984358
2.981601537,0.28471083,8.509138549,0.841809247,0.602137038,13297226000,14.85723575
1.273784387,0.599373033,4.882107618,0.834694288,0.334401041,4863994000,5.434630168
2.463239958,0.66378502,3.658084153,1.844781081,0.620243033,1213421000,1.355777654
1.099114635,0.853855094,4.528200612,2.113622725,0.308895194,873495000,0.975972067
3.214886538,0.259857187,6.708388081,0.376339016,0.278544618,17627664000,19.69571397
1.264534804,0.682166281,1.993305227,0.290931467,0.09246783,17931233000,20.03489721
1.360091317,0.540955286,10,1.546082149,0.709720837,9843915000,10.99878771
1.953699877,0.549174912,13.79616761,0.84655392,0.381647746,17769359000,19.8540324
3.084443439,0.699785993,6.980795486,0.904832094,0.271643269,3961787000,4.426577654
1.419382767,0.676440167,1.830470708,0.44385128,0.143612446,34011008000,38.00112626
2.538398126,0.54485711,15.99020477,1.682224992,0.765652744,5833658000,6.518053631
2.000345674,0.613859278,8.241586462,0.299423093,0.115619449,73762681000,82.41640335
4.344123082,0.688259878,10,0.77084425,0.24030308,2.92858E+11,327.2153966
1.908261761,0.443211285,5.285331017,0.338855123,0.188670709,10725813000,11.9841486
8.772221389,0.386645894,0.243674057,0.030351578,0.018616265,23721457000,26.50442123
1.001122728,0.733074638,0.945403335,0.123593101,0.032990133,1901000,0.002124022
1.73752739,0.486632184,1.849293734,0.556259252,0.285565597,95113109000,106.2716302
2.66955405,0.290050932,69.89559086,0.515923323,0.366279282,2332170000,2.605776536
9.994788716,0.154523163,38.60930863,0.324625727,0.274463533,1.40272E+11,156.7285553
1.225840852,0.417713675,17.12776492,0.475667991,0.276974966,1199511000,1.340235754
1.007802809,0.703394832,1.227661343,0.581938456,0.172605954,598565000,0.668787709
1.163870655,0.899268456,18.60070127,7.93958373,0.799766526,8335361000,9.313252514
3.82326035,0.669827446,13.22250628,1.581356952,0.522120663,2.18909E+11,244.5913497
1.603743841,0.216265878,34.42631015,0.308397941,0.24170199,1160450000,1.296592179
1.139773215,0.571992793,5.05571795,0.465691492,0.199319315,7744238000,8.652779888
1.572606496,0.723784322,10,3.227903559,0.891597569,15034213000,16.79800335
1.010052093,0.923932366,0.876155193,1.592189391,0.12111408,694203000,0.77564581
1.993537303,0.809602832,1.012442152,1.035485773,0.197153558,2.74513E+11,306.7183821
1.620729731,0.535799945,372.1537252,0.542961042,0.252042545,7810654000,8.726987709
6.036066337,0.178201193,10,0.610540405,0.501741376,79922126000,89.2984648
1.754379566,0.530640595,7.880317073,0.799347674,0.375181349,23247227000,25.97455531
1.436382192,0.529968832,1.285469175,0.241850323,0.11367719,41350201000,46.2013419
1.317931262,0.722672115,1.886352104,0.680531403,0.188730335,35740832000,39.9338905
3.144232355,0.349517505,29.02142574,0.841158041,0.547158581,30591079000,34.17997654
3.316078711,0.855193585,22.22373175,2.298419474,0.332825883,78001501000,87.15251508
1.059073809,0.789438155,5.087075864,0.923776985,0.194512187,6071895000,6.784240223
