NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
816003468,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",7902641000,10531485000,3721369000,4858279000,5673206000,3822806000,668385000,15037162000,Pequeña empresa
816004226,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4749939000,4780854000,2079955000,2079955000,2700899000,2365917000,0,7987601000,Pequeña empresa
816005778,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4605000000,6231012000,1227870000,1510590000,4720422000,3999702000,335740000,11214852000,Pequeña empresa
816006325,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3374579000,5030401000,2388239000,4227357000,803044000,1372783000,0,4334828000,Pequeña empresa
816007299,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",5382287000,5878828000,2227479000,3304278000,2574550000,3488402000,0,11026135000,Pequeña empresa
816007465,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",610646000,1373669000,103169000,670605000,703064000,592004000,90422000,1316962000,Microempresa
816008012,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2263490000,3043941000,942742000,1651116000,1392825000,1000646000,180633000,3496683000,Pequeña empresa
822006781,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2371718000,2416631000,1633187000,2045187000,371444000,1292668000,0,7529676000,Pequeña empresa
828001982,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",5218722000,5778791000,406009000,3629940000,2148851000,2859143000,48887000,13722461000,Pequeña empresa
830000437,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2779445000,2825587000,1363974000,1363974000,1461613000,1423552000,27590000,5343765000,Pequeña empresa
830008309,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3645671000,7734556000,3501591000,5267491000,2467065000,3028444000,316701000,11142443000,Pequeña empresa
830010206,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1946188000,2462427000,668116000,668116000,1794311000,487153000,0,2229102000,Pequeña empresa
830016472,G4520 - Mantenimiento y reparación de vehículos automotores,710324000,710572000,399569000,417024000,293548000,618379000,55195000,1714971000,Pequeña empresa
830017098,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2445972000,2633941000,2130044000,2130044000,503897000,802597000,0,2662330000,Pequeña empresa
830020730,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",15247660000,29244013000,6276022000,12634117000,16609896000,7736411000,0,15525079000,Pequeña empresa
830021122,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6026630000,8234013000,4103562000,5842673000,2391340000,2887763000,386584000,10664894000,Pequeña empresa
830021471,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1229486000,1796233000,507422000,796272000,999961000,408172000,0,1796722000,Pequeña empresa
830022612,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2614558000,3367942000,1028822000,1231518000,2136424000,1416569000,71366000,5229612000,Pequeña empresa
