No,Liquidez,Nivel_Endeudamiento,Razón-Cobertura_de_intereses,Rentabilidad del Patrimonio,Rentabilidad del Activo,Capital_de_Trabajo,%K
120,2.413871045,0.31132528,10,72%,0.495891539," 530,442,000.00 ",1.76814
121,5.781245298,0.306622447,10,41%,0.283399477," 11,026,484,000.00 ",36.75494667
122,1.633271923,0.644395804,10.5837136,108%,0.385498511," 20,249,971,000.00 ",67.49990333
123,3.414064488,0.259338991,10,91%,0.675366256," 2,068,018,000.00 ",6.893393333
124,1.41545647,0.452702588,26.35501506,62%,0.340458837," 715,974,000.00 ",2.38658
125,2.691391666,0.360149607,8.708807271,69%,0.443823966," 3,956,363,000.00 ",13.18787667
126,1.486944602,0.668319321,22.26782305,172%,0.57199511," 4,667,122,000.00 ",15.55707333
127,2.670455963,0.275790865,9.201256963,41%,0.295011095," 830,387,000.00 ",2.767956667
128,14.6453875,0.135032633,121.8955614,18%,0.156373572," 1,879,734,000.00 ",6.26578
129,3.117835043,0.501418078,10,60%,0.297372591," 3,873,533,000.00 ",12.91177667
130,0.001557098,0.46928025,0,0%,0," (2,307,752,000.00)",-7.692506667
131,7.173029319,0.072162612,50.99041874,24%,0.22255465," 862,829,000.00 ",2.876096667
132,1.844095225,0.440078792,8.181774384,81%,0.455638468," 755,905,000.00 ",2.519683333
133,1.060302342,0.842754512,5.472034483,227%,0.356431827," 1,553,982,000.00 ",5.17994
134,21.57552748,0.674730374,10,93%,0.303430331," 1,812,848,000.00 ",6.042826667
135,3.155368679,0.295713403,10,35%,0.248811522," 845,799,000.00 ",2.81933
136,2.862497154,0.503640545,21.25091622,113%,0.559076422," 2,601,726,000.00 ",8.67242
137,0.43816474,0.88391712,37.46451468,820%,0.951942638," (2,087,368,000.00)",-6.957893333
138,1.266602195,0.763694027,34.35575733,139%,0.328199144," 2,488,563,000.00 ",8.29521
139,1.249469154,0.823000376,10,453%,0.802604312," 188,331,000.00 ",0.62777
140,28.10505967,0.321626592,34.03366209,12%,0.083311989," 1,051,595,000.00 ",3.505316667
141,1.827270832,0.463893834,34.41314906,46%,0.24771404," 480,033,000.00 ",1.60011
142,3.505479296,0.461681328,10,94%,0.508143392," 2,355,133,000.00 ",7.850443333
143,1.266187203,0.946454643,0,0%,0," 113,034,000.00 ",0.37678
144,6.501258925,0.147854823,13.42798705,24%,0.200881224," 318,996,000.00 ",1.06332
145,1.517971301,0.586510888,7.083825357,74%,0.305696331," 1,315,745,000.00 ",4.385816667
146,1.210153873,0.767642198,4.129762594,179%,0.415023531," 1,762,388,000.00 ",5.874626667
147,2.870748648,0.132609892,10,7%,0.058946203," 1,132,323,000.00 ",3.77441
148,1.222079017,0.719052414,5.479287837,76%,0.213058117," 288,788,000.00 ",0.962626667
149,1.250799287,0.651575601,3.775694688,132%,0.461570105," 3,352,178,000.00 ",11.17392667
150,1.877191788,0.596490083,11.95839706,120%,0.484565917," 2,152,469,000.00 ",7.174896667
151,2.276683296,0.706618913,10,86%,0.251183287," 606,242,000.00 ",2.020806667
